,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3440,2018 Hyundai Grand i10,1.2 CRDi Sportz,"4,69,500",2018,Diesel,"45,317 Kms",1186 cc,1st Owner,Automatic,18.4 kmpl
3441,2018 Honda City,V CVT,"10,57,500",2018,Petrol,"14,856 Kms",1498 cc,1st Owner,Manual,18.9 kmpl
3442,2020 Hyundai Grand i10,Sportz Petrol BSIV,"5,78,000",2020,Petrol,"8,509 Kms",1197 cc,1st Owner,Automatic,19 kmpl
3443,2017 Honda Jazz,1.2 V AT i VTEC,"7,40,000",2017,Petrol,"33,873 Kms",1199 cc,1st Owner,DL7C,Comprehensive
3444,2017 Hyundai i20,Asta Option,"5,69,000",2016,Petrol,"50,024 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3445,2017 Hyundai i20,Magna 1.4 CRDi,"5,44,500",2016,Diesel,"64,390 Kms",1396 cc,1st Owner,Automatic,14.28 kmpl
3446,2015 Toyota Corolla Altis,VL AT,"9,36,500",2015,Petrol,"43,241 Kms",1798 cc,1st Owner,Manual,16.2 kmpl
3447,2018 Volkswagen Polo,1.2 MPI Comfortline,"4,30,500",2017,Petrol,"40,750 Kms",1199 cc,1st Owner,Automatic,22 kmpl
3448,2018 Maruti Swift,AMT ZXI BSIV,"6,65,871",2018,Petrol,"47,393 Kms",1197 cc,1st Owner,Manual,24.3 kmpl
3449,2019 Maruti Vitara Brezza,ZDi,"8,42,500",2019,Diesel,"46,244 Kms",1248 cc,1st Owner,Manual,17.4 kmpl
3450,2015 Honda City,i VTEC V,"5,41,681",2015,Petrol,"78,296 Kms",1497 cc,2nd Owner,UP14,Comprehensive
3451,2011 Hyundai i10,Sportz 1.2,"2,51,286",2011,Petrol,"38,270 Kms",1197 cc,2nd Owner,Manual,22.7 kmpl
3452,2020 Datsun RediGO,A,"2,70,000",2019,Petrol,"15,598 Kms",799 cc,1st Owner,Manual,16.47 kmpl
3453,2011 Volkswagen Polo,Petrol Highline 1.2L,"2,71,500",2011,Petrol,"118,807 Kms",1198 cc,1st Owner,Manual,22.9 kmpl
3454,2013 Maruti Swift,VDI,"4,50,000",2013,Diesel,"99,877 Kms",1248 cc,1st Owner,Manual,21.21 kmpl
3455,2016 Maruti Swift,ZXI,"4,53,948",2015,Petrol,"52,655 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3456,2017 Hyundai i20,1.4 Asta Option,"6,55,500",2017,Diesel,"68,644 Kms",1396 cc,1st Owner,Automatic,23.84 kmpl
3457,2017 Tata Tiago,1.2 Revotron XZA,"4,50,000",2017,Petrol,"19,544 Kms",1199 cc,1st Owner,Manual,20.3 kmpl
3458,2019 Tata Tigor,XZ Plus,"5,50,500",2019,Petrol,"15,681 Kms",1199 cc,1st Owner,Manual,28.4 kmpl
3459,2017 Maruti Swift Dzire,ZDI Plus,"6,12,000",2017,Diesel,"71,549 Kms",1248 cc,1st Owner,Manual,26.59 kmpl
3460,2015 Maruti Swift Dzire,VDI,"4,17,000",2014,Diesel,"98,563 Kms",1248 cc,1st Owner,Manual,17.01 kmpl
3461,2016 Hyundai Verna,1.6 VTVT S,"6,37,000",2016,Petrol,"60,820 Kms",1591 cc,1st Owner,Manual,20 kmpl
3462,2019 Renault Triber,RXT,"5,09,500",2019,Petrol,"17,062 Kms",999 cc,1st Owner,Manual,23.84 kmpl
3463,2019 Tata Tiago,1.2 Revotron XT,"4,53,500",2019,Petrol,"24,973 Kms",1199 cc,1st Owner,Manual,18.5 kmpl
3464,2013 Hyundai i20,Magna Optional 1.2,"3,40,357",2013,Petrol,"54,952 Kms",1197 cc,1st Owner,Manual,19.05 kmpl
3465,2020 Tata Altroz,XE,"5,52,500",2020,Petrol,"3,199 Kms",1199 cc,1st Owner,Manual,20.77 kmpl
3466,2014 Maruti Ertiga,VDI,"5,37,000",2014,Diesel,"72,395 Kms",1248 cc,1st Owner,Manual,18.6 kmpl
3467,2019 Hyundai i20,Magna Plus BSIV,"6,17,000",2019,Petrol,"29,942 Kms",1197 cc,1st Owner,Manual,19.05 kmpl
3468,2020 Tata Altroz,XE,"5,52,500",2020,Petrol,"3,199 Kms",1199 cc,1st Owner,DL3C,Comprehensive
3469,2016 Maruti Celerio,VXI,"3,81,500",2016,Petrol,"48,964 Kms",998 cc,1st Owner,Manual,25.32 kmpl
3470,2016 Mahindra KUV 100,mFALCON D75 K8 5str AW,"3,97,000",2016,Diesel,"54,476 Kms",1198 cc,2nd Owner,Manual,19.1 kmpl
3471,2014 Maruti Swift Dzire,VXI,"4,16,500",2014,Petrol,"102,690 Kms",1197 cc,1st Owner,DL6C,Comprehensive
3472,2017 Maruti Celerio,VXI,"4,25,500",2016,Petrol,"15,785 Kms",998 cc,1st Owner,Manual,17 kmpl
3473,2016 Ford Ecosport,1.5 Petrol Titanium BSIV,"6,85,000",2015,Petrol,"32,345 Kms",1497 cc,1st Owner,Manual,25.2 kmpl
3474,2017 Maruti Swift,VDI Optional,"4,62,000",2016,Diesel,"60,637 Kms",1248 cc,1st Owner,Manual,23.59 kmpl
3475,2018 Toyota Etios Liva,1.4 VD,"5,37,500",2018,Diesel,"46,354 Kms",1364 cc,1st Owner,Manual,20.51 kmpl
3476,2013 Maruti Wagon R Stingray,VXI,"3,23,000",2013,Petrol,"55,675 Kms",998 cc,1st Owner,Manual,15.85 kmpl
3477,2018 Ford Ecosport,1.5 Ti VCT MT Ambiente BSIV,"7,43,820",2018,Petrol,"30,953 Kms",1499 cc,1st Owner,Manual,26.59 kmpl
3478,2015 Maruti Swift Dzire,VDI,"5,87,000",2015,Diesel,"25,433 Kms",1248 cc,1st Owner,Manual,32.26 kmpl
3479,2016 Maruti Alto K10,LXI CNG Optional,"3,25,500",2016,CNG,"55,252 Kms",998 cc,1st Owner,Manual,20.36 kmpl
3480,2012 Hyundai i10,Sportz 1.2,"2,85,500",2011,Petrol,"82,238 Kms",1197 cc,1st Owner,Automatic,18 kmpl
3481,2014 Honda City,i VTEC CVT VX,"6,46,500",2014,Petrol,"93,090 Kms",1497 cc,1st Owner,Manual,26 kmpl
